Corrected,pharyngealjaw,Mollariform,Subfamily,oraljaw,oral jaw 1
Niobichthys ferrarisi,"Bladed, small teeth",0,Hypoptopominae,circular but robust with taller body,Typical
Otocinclus vittatus,"Bladed, small teeth",0,Hypoptopominae,circular but robust with taller body,Typical
Otothyris sp.,"Bladed, small teeth",0,Hypoptopominae,circular but robust with taller body,Typical
Oxyropsis carinata,"Bladed, small teeth",0,Hypoptopominae,circular but robust with taller body,Typical
Panaqolus maccus,"Bladed, small teeth",0,Hypostominae,circular but robust with taller body,Typical
Panaque armbrusteri,"Bladed, small teeth",0,Hypostominae,circular but robust with taller body,Typical
Parancistrus aurantiacus,"Bladed, small teeth",0,Hypostominae,elongate tooth cup typical large body,Typical
Pareiorhaphis cameroni,Carp-like,0,Hypoptopominae,elongate tooth cup typical large body,Typical
Parotocinclus jumbo,"Bladed, small teeth",0,Hypoptopominae,circular but robust with taller body,Typical
Peckoltia braueri,"Bladed, small teeth",0,Hypostominae,circular but robust with taller body,Typical
Peckoltia sabaji,"Bladed, small teeth",0,Hypostominae,elongate tooth cup typical large body,Typical
Planiloricaria cryptodon,Labroid-like,1,Loricariinae,reduced,reduced
Pseudacanthicus pirarara,"Bladed, small teeth",0,Hypostominae,circular but robust with taller body,Typical
Pseudancistrus barbatus,"Bladed, small teeth",0,Hypostominae,elongate tooth cup typical large body,Typical
Pseudohemiodon apithanos,Labroid-like,1,Loricariinae,reduced,reduced
Pseudoloricaria laeviuscula,"Elongated, elongate teeth",0,Loricariinae,reduced,reduced
Pseudorinelepis genibarbis,"Bladed, small teeth",0,Rhinelepinae,circular but robust with taller body,Typical
Pterygoplichthys gibbiceps,"Bladed, small teeth",0,Hypostominae,circular but robust with taller body,Typical
Rhinelepis strigosa,"Bladed, small teeth",0,Rhinelepinae,elongate tooth cup typical large body,Typical
Rhinotocinclus eppleyi,"Bladed, small teeth",0,Hypoptopominae,circular but robust with taller body,Typical
Rineloricaria lanceolata,Labroid-like,1,Loricariinae,reduced,reduced
Scobinancistrus aureatus,"Bladed, small teeth",0,Hypostominae,elongate and long at toothcup,elongate and long at toothcup
Spatuloricaria evansii,"Elongated, elongate teeth",0,Loricariinae,elongate and long at toothcup,elongate and long at toothcup
Spectracanthicus murinus,"Bladed, small teeth",0,Hypostominae,elongate and long at toothcup,elongate and long at toothcup
Spectracanthicus zuanoni,"Bladed, small teeth",0,Hypostominae,circular but robust with taller body,Typical
Sturisoma robustum,"Bladed, no teeth",0,Loricariinae,elongate tooth cup typical large body,Typical
Sturisomatichthys tamanae,"Bladed, no teeth",0,Loricariinae,elongate tooth cup typical large body,Typical
